movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;AbsoluteIncrease;RelativeIncrease
inception;10;BradySmith;/user/BradySmith;May 13, 2013;"[ ""Perhaps my favorite movie, inception is by far the most intellectually stimulating blockbuster ever created, even surpassing the Matrix.  The first time I watched this movie I liked it, but did not love it.  It takes a few repeat viewings to truly pick up on just how surreal of an atmosphere Nolan has devised through innovative plot structure, Hanz Zimmer's incredible score, and impressive cinematography, even if you understood the story.  I would give his cinematographer's name, but even though I know it, I know I'd spell it wrong.   I've heard the movie Paprika had a great influence on Inception so I don't quite know exactly how original it actually is, but rest assured, it's definitely unique among mega budgeted action films.  With it's arthouse sensibilities, huge scale, impressive visual effects, ambiguous ending, and enough (possibly) pseudo intellectuality to give Freud a headache, Inception marks a new era in blockbuster filmmaking, and will permanently cling to the deep recesses of your mind."" ]";0;0;0;0;2;0.25
avatar;10;BradySmith;/user/BradySmith;Jun  8, 2014;"[ ""When I first saw Avatar in theatres a few years ago I was simply awestruck.  It is without a doubt the most visually beautiful film ever made.  The world of Pandora is as detailed and alive as any setting you'll ever find in a movie, and quite possibly even more so.  The story may have been done many times before, but it's still very engaging.  There are moments that are powerfully charged with emotion, the direction is flawless, and the scope and scale are both breathtaking.  There is also an extremely resonant atmosphere throughout.  James Cameron has created what is quite possibly his best film.  It's an instant classic, full of deeply human and resonant emotion, groundbreaking visuals, and viscerally stunning action.  My only real complaint is that the dialogue can be somewhat clunky, but the rest of the movie quickly sends this to the realm of nitpicking.  Please choose to watch this instead the next time you even think of checking out one of the lousy Transformers sequels."" ]";0;1;0;1;2;0.25
inside-out-2015;10;moviemitch96;/user/moviemitch96;Jun 30, 2015;"[ ""Well after a slightly bumpy road with some of their latest films, I'm more than happy to say that Pixar makes more than welcome return to form with this being one of their best films in a long time! Everything about it is just so perfect! From the gorgeous animation to the lively and very funny voice cast! Amy Poehler is perfectly delightful as Joy! Phyllis Smith, Bill Hader, Lewis Black, and Mindy Kaling as Sadness, Fear, Anger, and Disgust respectively were all perfectly cast as well. The overall story is also highly imaginative, unique, and completely entertaining from start to finish! Overall, not only is this easily Pixar's best in a very long time, but it's also the best film I've seen so far this summer, or all year for that matter! And yes I will admit, I did shed a few tears near the end."" ]";3;4;3;1;2;0.25
mad-max-fury-road;10;moviemitch96;/user/moviemitch96;May 17, 2015;"[ ""Prepare to have your mind blown by this film!!! Everything comes together marvelously, from the visually striking action sequences, to the powerful lead performances from Tom Hardy and Charlize Theron! In addition, we also get a breathtaking post-apocalyptic setting that's never looked better! And unlike most action films, it even has a witty screenplay and dialogue and contains several clever and humorous moments at all the right times! Overall, not only is this easily the best summer kickoff film so far this year, but it's also without a doubt one of the most exciting and impressive films I've seen so far this year! George Miller brilliantly outdoes himself with this more than welcome return to Max's post-apocalyptic world we've come to know and love! What a lovely day indeed! And what a lovely film as well!"" ]";11;21;11;10;2;0.25
the-wolf-of-wall-street;10;moviemitch96;/user/moviemitch96;Dec 26, 2013;"[ ""This film left me speechless (in a good way) once the credits rolled. What I saw was, without a doubt, the craziest film Martin Scorsese has ever made! And it was amazing to say the least! The over-the-top sex, drugs, and language play out humorously, which is different for Scorsese, as he usually aims for dramatic when it comes to those sorts of things. Nevertheless, it works perfectly! The story of Jordan Belfort transitions from comedic and crazy in the first half to dramatic and serious in the second! Both aspects worked perfectly in detailing his crazy, messed up life. DiCaprio's portrayal of Belfort is flawless and should go down as his best performance in his entire career! Jonah Hill was often times hilarious and made for a great comic relief in the more dramatic and serious parts of the film. Matthew McConaughey was very thought-provoking and funny in his small role at the beginning. All of the other supporting cast members did great and helped this film run along smoothly. But overall, in its lengthy 3-hour runtime, Scorsese creates what is (in my opinion) his absolute best film to date (and yes, even better than Goodfellas!) This film is an absolute must-see for any and all Scorsese fans, as well as any movie-goers looking to see one of the best films of the year!"" ]";4;10;4;6;2;0.25
interstellar;10;moviemitch96;/user/moviemitch96;Nov  9, 2014;"[ ""This is hands down the most beautiful and thought-provoking film Christopher Nolan has made to date! All of the film's elements come together marvelously, from the great acting and often times emotional story to the dazzling effects, images, and music! Matthew McConaughey gives a powerful and moving performance in the lead. There were also some great supporting performances from Anne Hathaway, Jessica Chastain, Wes Bentley, etc. Hans Zimmer, who composed most of Nolan's previous films once again composes an epic and unforgettable score for this one as well. And of course, the effects are simply gorgeous, need I say more?! Despite the lengthy three-hour runtime, I didn't mind it a bit this time around, as the film kept me completely engaged from start to finish! Overall in my opinion, it's Nolan's absolute best film since The Dark Knight and is without a doubt the greatest film I've seen all year and I'd love to see if any other film this year can top this one for me, but I highly doubt it!"" ]";3;5;3;2;2;0.25
room-2015;10;moviemitch96;/user/moviemitch96;Nov 21, 2015;"[ ""Easily one of the most hauntingly and emotionally powerful films I've seen all year! Despite not being a completely faithful adaptation to the just as powerful book on which it was based, author Emma Donoghue successfully delivers a more than satisfying adaptation for the film that leaves all of the most important and essential things intact, but also even improves upon certain moments in the book! As for the acting, words simply can't describe Brie Larson and Jacob Tremblay's performances! I can honestly say right now that there's no justice on this earth if Larson doesn't win the best actress Academy Award this year! The amount of emotional and heartbreaking heft she gives in her performance is amazing and undoubtedly the high point of her career to date! Tremblay is also very much worthy of at least a nomination, as he gives what I can only describe as the best child performance I've ever seen! He's the rare instance of a child actor that never felt annoying or irritating in the slightest and truly poured his heart and soul into his performance just as much as Larson's. The film also managed to get me choked up quite a few times and by the end it made me realize just how much damage and suffering can be done to a person and last, even when the worst of a situation is over, but at the same time, it also made me realize how strong we can all be deep down in our ability to overcome even the worst as long as we have family or someone there for us. Overall, it's without a doubt the most hard to watch, heartbreaking, but also most beautiful film I've seen all year! It's a film that truly humbled me and is a shining and welcome reminder that the human spirit and will is indeed alive and well!"" ]";1;1;1;0;2;0.25
la-la-land;10;moviemitch96;/user/moviemitch96;Dec 18, 2016;"[ ""Far and out the best movie I've seen all year, and with the very end of the year rapidly approaching, I think it's highly likely that it'll stay that way! I simply can't heap enough praise upon this film! Everything it about it was absolutely perfect and amazing! The song and dance numbers were all an absolute joy to watch and did such a wonderful job of paying homage to many golden age musicals and classic cinema! Ryan Gosling and Emma Stone have never been better and were perfectly in tune with each other! The story and message is universal and was one I certainly felt that I could relate to and many others as well I'm sure, because if there's any movie that you need to lift your spirits and remind you to always follow your dreams, this is the one to turn to without a doubt! Just when I thought that director Damien Chazelle couldn't possibly outdo himself after 2014's also brilliant \""Whiplash\"", man was I in for a pleasant and more than welcome reality check with this film! Overall, it's a film that made me laugh, smile, and even just about cry tears of joy from start to finish! Why can't more films be as beautiful and joyful as this!? Then again, that's what'll help this film stand out all the more and make it remain not just as an even more unique and special film, but also an even more unique and special experience for years and years to come!"" ]";4;7;4;3;2;0.25
close-encounters-of-the-third-kind;10;AxeT;/user/AxeT;Sep 29, 2017;"[ ""(Labor Day 40th anniversary re-release)"", ""What \""Jaws\"" did to the water or the unknown terror lurking beneath it, Spielberg's follow up did for the skies or the unknown mysteries traveling above them.  Not only does this hold up forty years later, but its hot at the time UFO and government conspiracy topics seem more intelligent and adult now and are compared to today's juvenile genre blockbusters."" ]";0;0;0;0;2;0.25
jaws;10;AxeT;/user/AxeT;Jun 21, 2015;"[ ""The classic summer blockbuster that started the 40 year continuing trend not only holds up but is better with every viewing (save that very first time as a young kid in the theatre, nothing could compare).  It's one in an extremely rare pantheon of movies that defy all odds by being better than their best selling novels.  The vision of its new director was a most assured behind the camera presence that I sensed even as a seven year old.  It was a whole new level of movie."", ""Now the DCP being shown for its theatrical re-release shows how amazingly that original film photography holds up.  It still looks like a contemporary shot movie in many ways, and the digital surround sound is on the same level."", ""This is an example of pure 100% efficiency movie making with not a second wasted in its Oscar winning editing packed so tight with goods you are amazed how much and rich a story for one feature.  That was the case in 1975 and holds true today.  I feel sorry for those younger generations who think it drags in the second act.  They've been brainwashed by too much of today's insipid pace for pace's sake bloated VFX movies which leave character and nuance in the dust.  The balance of pacing achieved by Jaws was at an all time pinnacle I'd say."", ""Probably the most famous music score in cinematic history with maybe only Psycho, Rocky, Star Wars and 007 as contenders, and despite being endlessly used in parodies, it's still absolutely effective."", ""The secret to the monster movie here was casting great actors in a human story that only amplifies the menace of the terrifying beast below in that rare Hollywood scenario (especially these days):  a horror that is entirely possible and real yet never underwhelming.  If Jaws was made today, undoubtedly it would be too over-the-top.  CGI would certainly ruin it and not because of that wonderful technology itself but the misuse and overuse of it."", ""Even rarer, it is that once in a generation cinematic event that transcends the silver screen and becomes a cultural milestone and part of our collective consciousness.  Psycho did it with the shower.  Fatal Attraction did it with the one night stand.  Jaws did it not just with sharks but with the water itself, and in even deeper and more primal terms with what lies beneath the water - the great unknown."", ""Equally simple B grade thriller material elevated by class A big studio machinery which took the project seriously, a man against nature adventure classic for the ages, and a well researched scientific study of sharks and the oceans which became the inspiration for so many marine biologists, conservationists, and documentarians; JAWS is as great as movies ever get.  The old saying, they don't make 'em like they used to never applied more."", ""Long Live The Great White!"" ]";0;0;0;0;2;0.25
zero-dark-thirty;10;AxeT;/user/AxeT;Dec 12, 2014;"[ ""One of if not the best picture from a couple years ago.  It's bigger, better, and more important than"", ""the massively over-rated \""The Hurt Locker\"" with a far greater narrative drive, brilliant music score"", ""and much better photography.  The true story of the biggest man hunt of our time as told here"", ""resonates in a powerful and disturbing way."" ]";0;0;0;0;2;0.25
dawn-of-the-planet-of-the-apes;10;analogkid280;/user/analogkid280;Jul 13, 2014;"[ ""A complete re-imagining of the movie \""Battle for Planet of the Apes\"", this movie \""Dawn\"" is exactly what the original creators of the first film wanted to do. That was until the Fox executives got their hands into the project and turned it into a virtual home movie and pilot for a failed TV series. It took 40 years but we finally have that great battle movie in our hands. The actors playing apes do an excellent job and you never once wonder if they are real or not you are just immersed in the film. The action and plot have many twists and turns and keeps you interested for the full duration of the film. I really love what these new movies do for the franchise giving it the credibility that the continuing 70's sequels could never give."" ]";7;12;7;5;2;0.25
spring-breakers;10;analogkid280;/user/analogkid280;Mar 24, 2013;"[ ""I didn't just watch this movie. I experienced it. I did not want it to end. Everybody in this movie was so nice. I just wanted to stay there forever and have fun. All the other movies out there are all the same compared to this music videostory. Nobody could ever figure out how it will unfold. They just know that somebody has to eventually have consequences in a fantasy land where responsibility does not exist... The only question is who and how. For that answer you have to watch this alternative treat. Just be sure to leave the kiddos at home this movie should be rated nc-17."" ]";4;12;4;8;2;0.25
silver-linings-playbook;10;analogkid280;/user/analogkid280;Jan 13, 2013;[];0;3;0;3;2;0.25
man-of-steel;10;analogkid280;/user/analogkid280;Jun 16, 2013;"[ ""Mature, intelligent, and polished. The planet Krypton chapter was so interesting I could of watched a whole 2 hour movie just in that world. Many familiar faces make a show and it works. Fight scenes are quick and exciting. Certainly worth a franchise reborn."" ]";10;14;10;4;2;0.25
looper;10;analogkid280;/user/analogkid280;Oct  1, 2012;[];1;5;1;4;2;0.25
oblivion;10;analogkid280;/user/analogkid280;Apr 22, 2013;"[ ""I disagree this is Matrix lite. This movie has elements of Matrix, as well as Beneath the Planet of the Apes, Star Trek, Moon, and many other great sci-fi movies of the past 50 years. That makes this a great movie. Just when you think this movie is getting bland Hollywood plays the Morgan Freeman card that immediately makes any movie much more interesting especially a great space opera like this one.  This is the movie we all wanted Prometheus to be last year but were left cold and confused."" ]";1;2;1;1;2;0.25
12-years-a-slave;10;analogkid280;/user/analogkid280;Jan  6, 2014;"[ ""Excellent visuals and a strength of resisting the urge to squeeze modern politics into this classic tale brings it to the top of 2013. This story is one that may be difficult to watch if you are squeemish and want some superhero to fly in and carry them all away. It is important though, and gives a well rounded view of the times. It also holds back on the stereotypes that plague almost every other movie on this subject matter. Home run."" ]";1;1;1;0;2;0.25
silence;10;MattBrady99;/user/MattBrady99;Jan 25, 2017;"[ ""\""Silence is the loudest cry for love\"". The story of \""Silence\"" fellows two Jesuit priests, Sebastião Rodrigues and Francis Garrpe, who travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact."", ""This was tough. Seriously, this was the hardest thing I've ever digest in terms of progressing my thoughts. It's so mesmerizing with so many things going on at once that it takes awhile to sink in. Gets you thinking on a subject that you wasn't originally interested in. A movie that leaves you completely paralyze of reacting or forming a sentence to describe what you just witness. But after four days of letting it sink in, it has been settled."", ""What I love about \""Silence\"" is that it doesn't judge-the potential arrogance & imperialism of missionary work. It doesn't make you pick aside to root for, but understand where both sides are coming from. It's up to you - the audience, to decide if their actions are right or wrong."", ""\""Silence\"" is easily one of best movies of 2016. A film in which you get so involved of whats going on that it stays with you long after it's over. It's one of Scorsese's finest achievement of his career."", ""For almost 30 years, Scorsese has been trying to get Shusaku Endo novel \""Silence\"" made. You see, Scorsese grow up Catholic and had desire to become a priest at a young age. So the book deeply moved him in a personal way. But the reason why he couldn't get it made sooner is because he wasn't ready to take on anything like this. To him, this was something big and challenging. So all these years he tried to really think how a story like this could be cinematic."", ""Martin Scorsese is my favorite director and every movie he makes, I'm there. I haven't seen all of his movies yet, but those are for a special time. Now people have ask the question of who's the best living director working today - It's Scorsese all the way. While Steven Spielberg and Ridley Scott will always be legends, but Marty doesn't just make a movie to stay relevant or just do it for the sake of it. You can see the passion behind every film his done. \""Silence\"" is no different. It's a deeply spiritual film and has multiple layers of meanings. Marty reminds us of that old cinema we love."", ""Andrew Garfield was absolutely fantastic in this movie. Garfield once again proves that he's a great actor. His performance was emotionally striking and he nailed the character down. It a real shame that he got nominated for \""Hacksaw Ridge\"" and not this. I thought he was far better in \""Silence\"". Because he starts off 100% dedicated to his own faith, but towards the end he's a complete wreck. The challenges he had to face was more compelling and soul crushing to watch."", ""Adam Driver and Liam Neeson were also great. Driver performance was natural and tremendous that you see the deep passion he's character had for faith. Neeson doesn't have a big role, but his presence on the story is immense and unique."", ""All the Japanese cast were all stellar. Especially Issei Ogata and Yôsuke Kubozuka. Those two were the stand outs for me. Ogata character can be best describe as Christoph Waltz from \""Inglourious Basterds\"", as he's both comedic and menacing. Kubozuka broke my heart a couple of times, as the cowardly Christian who keeps letting others down many times. But when he begs for forgiveness, it's hard not to fall into that routine again."", ""The score for this movie is quite interesting. I say \""interesting\"" because there's not much music, but sounds. Nature sounds you would here in the Forrest or a swamp. It's a score that creeps into my head and psychological effects you."", ""Rodrigo Prieto cinematography in this movie was just flawless. The look of Japan has this foggy, warmth, and damp look to it. Prieto capturers the cruelty and the hidden beauty to it."", ""Unfortunately, this isn't going to be for everyone and I've already seen different sides. It ask questions more than answers. Quite honestly, I glad it dose. As it opens to discussions with others and gets you talking. You know, like a movie should."", ""And yes it may be frustrating for some, but I think that's the right reaction that a movie like this should have. A movie that puts you in the shoes of what the characters going through and their main struggles. If all that is perfectly captured on film, it's less than a negative, but more of an achievement. For a 2 hour and 41 minute movie, it never dragged for me."", ""Overall rating: \""Silence\"" touches every rope of your mind and soul. This is one of those movies which may not be appreciated until many years later, for those who can grasp the true heart and meaning of this film, it's a transcendent experience. I was captivated from start to finish."", ""Hail Scorsese!"" ]";2;4;2;2;2;0.25
anomalisa;10;MattBrady99;/user/MattBrady99;Dec 31, 2015;"[ ""Michael Stone: \""I think you're extraordinary\""."", """", ""Lisa: \""Why?\""."", """", ""Michael Stone: \""I don't know yet. It's just obvious to me that you are\""."", """", ""Anomalisa is about a depressed customer service rep faces the mundanity of his life and one day finds someone he can finally connect with."", """", ""What a better way to end the year is to talk about \""Anomalisa\"", one of my most anticipated movie of 2015. Charlie Kaufman is an inspiration, as a writer and now a director. Synecdoche, New York is one of my all time favorite movies, and yeah it's for everyone, but I personally loved it as with every repeat viewings of the movie made my love each more. Now we've got Anomalisa, Kaufman's new film and I did have the pleasure of watching the movie last night, I thought it was freaking fantastic. He did it again everyone."", """", ""What really surprised me is how Anomalisa is the least complicated film by Charlie Kaufman, I mean Synecdoche, New York was very complicated and really needed Analyzing with repeat viewings just to get a gasp on what's happening, but here it's not that complicated. But the movie has a lot of clever and excellent choices that makes this movie just as unique as it is, I mean since we live in a age that every movie is the same, this movie stands out from the rest and it's execution was better than most of the animated movies I've seen this year."", """", ""Duke Johnson and Charlie Kaufman are the main directors of this movie, and both of them have created one marvel of a film. Both of them mixed humor and seriousness together perfectly well. Duke Johnson is best known for working on TV shows such as: Moral Orel, Mary Shelley's Frankenhole, and Community. So yeah, \""Anomalisa\"" is Duke Johnson's first feature length film and I thought he did a brilliant job on this movie, as he worked well with Charlie."", """", ""Another thing I have to praise is the animation as it is freaking flawless. The movie is in stop motion and it's seriously impressive. When are main character goes through doors into different rooms and hall ways it was handled marvelously, because it makes this universe that the movie is set in feel real. The voice acting and the character designs made these characters feel like real people. Oh and how can I not talk about the characters eyes in this movie, as it was more realistic and impressive than any other animated movie I've seen this year. \""The most human movie of the year. And it doesn't star a single human\"". - From Matt patches"", """", ""Overall Anomalisa is one of the best animated movies of 2015. It's way better than \""Inside Out\"" (In my opinion). Charlie Kaufman has done it again everyone and it's glorious."" ]";14;16;14;2;2;0.25
